Method,"Mean Train Accuracy (IB [BDO, BDU, BDH])","Test Accuracy (IB [BDO, BDU, BDH])","F1-Score (IB [BDO, BDU, BDH])"
Autoencoder,"94.12 [+0.68, +1.28, +1.73]","95.15 [+1.05, +0.27, +0.63]","1.15 [+0.30, -0.75, -0.69]"
Decision Trees,"99.10 [-6.60, -7.10, -7.70]","99.95 [-9.66, -10.09, -9.35]","6.56 [-5.57, -5.57, -5.55]"
Gaussian Naive Bayes,"98.45 [-8.25, -8.95, -7.95]","99.82 [-10.02, -11.07, -9.97]","26.30 [-23.72, -25.41, -25.31]"
Isolation Forest,"95.60 [-4.10, -5.40, -3.60]","94.55 [-3.65, -4.85, -2.75]","13.48 [-9.40, -12.48, -12.49]"
KNN,"99.88 [-0.88, -8.88, -0.68]","99.95 [-0.19, -9.21, -0.32]","99.94 [-87.50, -98.95, -90.93]"
LightGBM,"99.20 [-1.40, -8.15, -1.10]","99.94 [-4.59, -8.94, -2.04]","15.86 [-14.31, -14.78, -14.37]"
Random Forest,"98.30 [-0.30, -1.20, -0.30]","99.10 [-1.60, -2.75, -1.70]","31.10 [+7.32, -1.72, +3.97]"
Robust Covariance,"90.52 [-0.42, -0.12, +1.08]","90.10 [-0.90, -0.30, +0.60]","6.44 [-5.65, -5.57, -5.41]"
XGBoost,"98.50 [-3.10, -7.16, -3.50]","99.91 [-4.91, -9.14, -5.31]","52.10 [-50.32, -51.05, -51.09]"
ADMXGB,"99.96 [-0.16, -0.30, -0.35]","99.67 [+0.13, -0.05, +0.06]","31.02 [+11.38, -1.73, +6.51]"
